"customer_id";"first_name";"last_name";"gender";"age";"email";"country"
1;"Shawna";"Dudlestone";"F";50;"shawna.dudlestone@e-recht24.de";"Malaysia"
2;"Carley";"Laffranconi";"F";78;"carley.laffranconi@yelp.com";"Brazil"
3;"Jonah";"Romeuf";"M";51;"jonah.romeuf@newsvine.com";"Brazil"
4;"Dorey";"Tolle";"M";57;"dorey.tolle@ucoz.ru";"Brazil"
5;"Claretta";"Goodenough";"F";79;"claretta.goodenough@edublogs.org";"Ghana"
6;"Saunders";"Murkus";"M";37;"saunders.murkus@trellian.com";"Malaysia"
7;"Torrie";"Crossland";"F";62;"torrie.crossland@cam.ac.uk";"Brazil"
8;"Zolly";"Bouts";"M";42;"zolly.bouts@icq.com";"Nigeria"
9;"Abram";"Richold";"M";81;"abram.richold@netlog.com";"Brazil"
10;"Ronna";"Bunning";"F";65;"ronna.bunning@hhs.gov";"Cameroon"
11;"Alanna";"Gander";"F";41;"alanna.gander@who.int";"Brazil"
12;"Marylin";"Dwerryhouse";"F";65;"marylin.dwerryhouse@tiny.cc";"Malaysia"
13;"Vickie";"Whistan";"F";71;"vickie.whistan@a8.net";"Nigeria"
14;"Douglas";"Minster";"M";20;"douglas.minster@360.cn";"Nigeria"
15;"Ulrick";"Glason";"M";65;"ulrick.glason@domainmarket.com";"Malaysia"
16;"Park";"Constable";"M";52;"park.constable@unc.edu";"Brazil"
17;"Nicoli";"Loveman";"F";45;"nicoli.loveman@furl.net";"Brazil"
18;"Jelene";"Danielut";"F";72;"jelene.danielut@google.com.br";"Malaysia"
19;"Merrel";"Ditt";"M";76;"merrel.ditt@gravatar.com";"Brazil"
20;"Zak";"Ive";"M";52;"zak.ive@mit.edu";"Brazil"
21;"Nellie";"Bawdon";"F";48;"nellie.bawdon@patch.com";"Brazil"
22;"Alene";"Gallemore";"F";27;"alene.gallemore@symantec.com";"Albania"
23;"Winni";"Corhard";"F";70;"winni.corhard@boston.com";"Malaysia"
24;"Yorker";"Jinda";"M";83;"yorker.jinda@tmall.com";"Egypt"
25;"Daffy";"Slatten";"F";85;"daffy.slatten@ox.ac.uk";"Nigeria"
26;"Oralia";"Ivchenko";"F";42;"oralia.ivchenko@who.int";"Brazil"
27;"Noel";"Hauger";"F";45;"noel.hauger@jigsy.com";"Brazil"
28;"Bradley";"Howett";"M";27;"bradley.howett@yahoo.com";"Brazil"
29;"Inger";"Plenty";"M";55;"inger.plenty@pcworld.com";"Bolivia"
30;"Debor";"O'Curneen";"F";34;"debor.o'curneen@google.com.br";"Brazil"
31;"Lorenza";"Franzetti";"F";78;"lorenza.franzetti@opensource.org";"Brazil"
32;"Erminie";"Jouandet";"F";44;"erminie.jouandet@taobao.com";"Brazil"
33;"Valentino";"Lenihan";"M";52;"valentino.lenihan@mozilla.com";"Nigeria"
34;"Goldina";"Blethin";"F";80;"goldina.blethin@wikispaces.com";"Brazil"
35;"Darline";"Kimblin";"F";23;"darline.kimblin@tmall.com";"Brazil"
36;"Tamarah";"Tussaine";"F";28;"tamarah.tussaine@webmd.com";"Malaysia"
37;"Isabelita";"O'Carran";"F";55;"isabelita.o'carran@booking.com";"Benin"
38;"Culver";"Petley";"M";42;"culver.petley@washington.edu";"Brazil"
39;"Pearline";"Bisgrove";"F";40;"pearline.bisgrove@independent.co.uk";"Brazil"
40;"Sigismund";"Cossom";"M";25;"sigismund.cossom@bing.com";"Bolivia"
41;"Carin";"Kamenar";"F";83;"carin.kamenar@virginia.edu";"Brazil"
42;"Inez";"Siveter";"F";51;"inez.siveter@forbes.com";"Brazil"
43;"Mayer";"Scheu";"M";36;"mayer.scheu@icq.com";"Brazil"
