"supplier_id";"supplier_name";"supplier_email";"supplier_country";"supplier_city";"supplier_address"
1;"Kassi Porch";"kassi porch@instagram.com";"Indonesia";"Jatiklampok";"6 Cambridge Place"
2;"Demetris Kesterton";"demetris kesterton@apache.org";"Angola";"Benguela";"090 Monica Terrace"
3;"Cornelle Bundey";"cornelle bundey@ovh.net";"Liberia";"Buchanan";"44675 Spenser Way"
4;"Mela Bushe";"mela bushe@paypal.com";"Greece";"Kými";"1887 Brentwood Avenue"
5;"Doralin Pickance";"doralin pickance@princeton.edu";"Colombia";"El Peñol";"5164 Colorado Court"
6;"Allie de Courcey";"allie de courcey@facebook.com";"Greece";"Amfíkleia";"17 Dapin Avenue"
7;"Eilis Monson";"eilis monson@smh.com.au";"China";"Nanzamu";"184 Melvin Road"
8;"Micki Skeech";"micki skeech@ucsd.edu";"Poland";"Walichnowy";"9503 Truax Drive"
9;"Coralyn Yoslowitz";"coralyn yoslowitz@gravatar.com";"Peru";"Usquil";"27726 Sutteridge Place"
10;"Odey Rollings";"odey rollings@youku.com";"China";"Mengxi";"59 Fordem Drive"
11;"Clerc Molson";"clerc molson@nba.com";"China";"Maopingchang";"11405 Lotheville Point"
